name,number sold,highest bid,lowest ask
Jordan 10 OG Sacramento Kings,4,$400,$550
Vans Style 36 Blends Bones,16,$350,$550
LeBron 7 Christ the King (CTK),8,$425,$560
LeBron 8 South Beach (Pre-Heat),45,$700,$565
Jordan 12 Retro PSNY Olive,166,$625,$579
Vans Sk8-Hi Supreme Public Enemy Black White,--,$201,$599
A Bathing Ape Bapesta Ronnie Fieg Fiegsta Sand,4,$480,$600
Nike Dunk SB Low Supreme NY Red Cement (2012),65,$552,$610
"Nike Dunk SB Low Diamond Supply Co. ""Tiffany""",55,$750,$650
"Asics Gel-Lyte III Afew ""Koi""",14,$800,$699
Jordan 11 Retro Concord DMP (2006),32,$600,$700
Air Max 95 Stash,4,$475,$750
Kobe 6 Grinch,41,$700,$750
Air Max 1 B Atmos Viotech,5,$550,$750
Nike Hyperdunk Marty McFly 2015,7,$650,$799
adidas Ultra Boost 1.0 Wood Wood Black,86,$785,$799
"Air Max 1 NL SP Clot ""Kiss of Death"" (2006)",10,$688,$799
"Asics Gel-Lyte III Woei ""Cervidae""",3,$475,$800
Air Max 1 112 Pack,5,$300,$800
Jordan 4 Retro Doernbecher,102,$951,$800
Nike Flyknit Lunar1+ Supreme NYC Black,23,$736,$800
Fear Of God Military Sneaker Kith Blue,5,$650,$820
Jordan 4 Retro Black Laser,18,$650,$850
adidas Futurecraft MFG Made For Germany,13,$700,$880
Jordan 5 Retro Doernbecher,102,$986,$899
Fear Of God Military Sneaker Canapa,3,$200,$900
Jordan 23 Titanium,8,$815,$900
Nike HyperAdapt 1.0 Black (1st Release Pair Special Box),418,$980,$910
Jordan 7 Retro Premio Bin 23,31,$900,$920
Reebok Instapump Fury Aape By a Bathing Ape,1,$179,$948
adidas Ultra Boost Uncaged Hypebeast,24,"$1,110",$950
"Asics Gel-Lyte III Ronnie Fieg ""Leatherbacks""",2,$600,$998
LeBron 4 Graffiti NYC,1,$800,"$1,000"
Jordan 23 Finale,11,$950,"$1,000"
"Air Max 90 Patta ""Homegrown Grass""",4,$700,"$1,028"
KD 4 Nerf,7,$825,"$1,040"
Jordan 2 Retro Doernbecher Peacock,23,$600,"$1,085"
"Diadora N9000 LimitEDition ""Castellers""",6,$700,"$1,099"
Dunk High Pro SB Supreme Red Stars,7,"$1,000","$1,100"
Air Max 1 Patta 5th Anniv Green,12,"$1,000","$1,125"
